DeviceID,Time,Power(kW)
STP 17000TL-10 431,21.01.2020 11:00,4.93
STP 17000TL-10 435,21.01.2020 11:00,4.85
STP 17000TL-10 561,21.01.2020 11:00,3.98
STP 17000TL-10 431,21.01.2020 17:00,0.28
STP 17000TL-10 435,21.01.2020 17:00,0.30
STP 17000TL-10 561,21.01.2020 17:00,0.30
STP 17000TL-10 431,21.01.2020 14:00,3.16
STP 17000TL-10 435,21.01.2020 14:00,1.69
STP 17000TL-10 561,21.01.2020 14:00,2.14
STP 17000TL-10 431,21.01.2020 15:00,6.26
STP 17000TL-10 435,21.01.2020 15:00,3.36
STP 17000TL-10 561,21.01.2020 15:00,5.79
STP 17000TL-10 431,21.01.2020 16:00,1.99
STP 17000TL-10 435,21.01.2020 16:00,2.30
STP 17000TL-10 561,21.01.2020 16:00,2.04
STP 17000TL-10 431,21.01.2020 18:00,0.02
STP 17000TL-10 435,21.01.2020 18:00,0.01
STP 17000TL-10 561,21.01.2020 18:00,0.01
STP 17000TL-10 431,20.01.2020 08:00,0.24
STP 17000TL-10 435,20.01.2020 08:00,0.24
STP 17000TL-10 561,20.01.2020 08:00,0.20
STP 17000TL-10 431,20.01.2020 09:00,0.52
STP 17000TL-10 435,20.01.2020 09:00,0.54
STP 17000TL-10 561,20.01.2020 09:00,0.48
STP 17000TL-10 431,20.01.2020 13:00,5.42
STP 17000TL-10 435,20.01.2020 13:00,4.50
STP 17000TL-10 561,20.01.2020 13:00,4.66
STP 17000TL-10 431,20.01.2020 10:00,2.10
STP 17000TL-10 435,20.01.2020 10:00,2.23
STP 17000TL-10 561,20.01.2020 10:00,1.96
STP 17000TL-10 431,20.01.2020 12:00,1.64
STP 17000TL-10 435,20.01.2020 12:00,1.77
STP 17000TL-10 561,20.01.2020 12:00,1.67
STP 17000TL-10 431,20.01.2020 11:00,2.76
STP 17000TL-10 435,20.01.2020 11:00,2.89
STP 17000TL-10 561,20.01.2020 11:00,2.60
STP 17000TL-10 431,20.01.2020 17:00,0.23
STP 17000TL-10 435,20.01.2020 17:00,0.24
STP 17000TL-10 561,20.01.2020 17:00,0.21
STP 17000TL-10 431,20.01.2020 14:00,3.00
STP 17000TL-10 435,20.01.2020 14:00,3.14
STP 17000TL-10 561,20.01.2020 14:00,2.90
STP 17000TL-10 431,20.01.2020 15:00,2.62
STP 17000TL-10 435,20.01.2020 15:00,1.55
STP 17000TL-10 561,20.01.2020 15:00,2.37
STP 17000TL-10 431,20.01.2020 16:00,1.41
STP 17000TL-10 435,20.01.2020 16:00,1.47
STP 17000TL-10 561,20.01.2020 16:00,1.35
STP 17000TL-10 431,20.01.2020 18:00,0.00
